customerID,companyName,recency_days,frequency,monetary
QUICK,QUICK-Stop,22.0,28,110277.3
ERNSH,Ernst Handel,1.0,30,104874.98
SAVEA,Save-a-lot Markets,5.0,31,104361.95
RATTC,Rattlesnake Canyon Grocery,0.0,18,51097.8
HUNGO,Hungry Owl All-Night Grocers,6.0,19,49979.9
HANAR,Hanari Carnes,9.0,14,32841.37
KOENE,Königlich Essen,20.0,14,30908.38
FOLKO,Folk och fä HB,9.0,19,29567.56
MEREP,Mère Paillarde,188.0,13,28872.19
WHITC,White Clover Markets,5.0,14,27363.6
FRANK,Frankenversand,27.0,15,26656.56
QUEEN,Queen Cozinha,2.0,13,25717.5
BERGS,Berglunds snabbköp,63.0,18,24927.58
SUPRD,Suprêmes délices,15.0,12,24088.78
PICCO,Piccolo und mehr,9.0,10,23128.86
HILAA,HILARION-Abastos,8.0,18,22768.76
BONAP,Bon app',0.0,17,21963.25
BOTTM,Bottom-Dollar Markets,12.0,14,20801.6
RICSU,Richter Supermarkt,0.0,10,19343.78
LEHMS,Lehmanns Marktstand,1.0,15,19261.41
BLONP,Blondesddsl père et fils,114.0,11,18534.08
GREAL,Great Lakes Food Market,6.0,11,18507.45
SIMOB,Simons bistro,0.0,7,16817.1
LINOD,LINO-Delicateses,15.0,12,16476.56
SEVES,Seven Seas Imports,91.0,9,16215.32
LILAS,LILA-Supermercado,1.0,14,16076.6
VAFFE,Vaffeljernet,34.0,11,15843.92
WARTH,Wartian Herkku,21.0,15,15648.7
OLDWO,Old World Delicatessen,16.0,10,15177.46
EASTC,Eastern Connection,8.0,8,14761.03
AROUT,Around the Horn,26.0,13,13390.65
OTTIK,Ottilies Käseladen,22.0,10,12496.2
RICAR,Ricardo Adocicados,7.0,11,12450.8
CHOPS,Chop-suey Chinese,14.0,8,12348.88
FOLIG,Folies gourmandes,135.0,5,11666.9
GODOS,Godos Cocina Típica,15.0,10,11446.36
SPLIR,Split Rail Beer & Ale,42.0,9,11441.63
TORTU,Tortuga Restaurante,2.0,10,10812.15
MAISD,Maison Dewey,29.0,7,9736.08
WANDK,Die Wandernde Kuh,13.0,10,9588.42
LAMAI,La maison d'Asie,9.0,14,9328.2
VICTE,Victuailles en stock,103.0,10,9182.43
GOURL,Gourmet Lanchonetes,12.0,9,8414.14
MAGAA,Magazzini Alimentari Riuniti,51.0,10,7176.22
REGGC,Reggiani Caseifici,6.0,12,7048.24
ANTON,Antonio Moreno Taquería,98.0,7,7023.98
TRADH,Tradição Hipermercados,107.0,6,6850.66
QUEDE,Que Delícia,36.0,9,6664.81
FURIB,Furia Bacalhau e Frutos do Mar,48.0,8,6427.42
ISLAT,Island Trading,61.0,10,6146.3
BSBEV,B's Beverages,22.0,10,6089.9
WELLI,Wellington Importadora,58.0,9,6068.2
SANTG,Santé Gourmet,26.0,6,5735.15
PRINI,Princesa Isabel Vinhos,28.0,5,5044.94
MORGK,Morgenstern Gesundkost,55.0,5,5042.2
TOMSP,Toms Spezialitäten,44.0,6,4778.14
ALFKI,Alfreds Futterkiste,27.0,6,4273.0
LONEP,Lonesome Pine Restaurant,23.0,8,4258.6
PERIC,Pericles Comidas clásicas,1.0,6,4242.2
BOLID,Bólido Comidas preparadas,43.0,3,4232.85
FAMIA,Familia Arquibaldo,187.0,7,4107.55
COMMI,Comércio Mineiro,14.0,5,3810.75
DRACD,Drachenblut Delikatessen,2.0,6,3763.21
WOLZA,Wolski  Zajazd,13.0,7,3531.95
OCEAN,Océano Atlántico Ltda.,37.0,5,3460.2
THEBI,The Big Cheese,35.0,4,3361.0
BLAUS,Blauer See Delikatessen,7.0,7,3239.8
FRANR,France restauration,43.0,3,3172.16
WILMK,Wilman Kala,29.0,7,3161.35
LETSS,Let's Stop N Shop,83.0,4,3076.47
HUNGC,Hungry Coyote Import Store,240.0,5,3063.2
RANCH,Rancho grande,23.0,5,2844.1
SPECD,Spécialités du monde,14.0,4,2423.35
LACOR,La corne d'abondance,43.0,4,1992.05
THECR,The Cracker Box,30.0,3,1947.24
CACTU,Cactus Comidas para llevar,8.0,6,1814.8
CONSH,Consolidated Holdings,103.0,3,1719.1
DUMON,Du monde entier,79.0,4,1615.9
TRAIH,Trail's Head Gourmet Provisioners,118.0,3,1571.2
FRANS,Franchi S.p.A.,6.0,6,1545.7
GROSR,GROSELLA-Restaurante,139.0,2,1488.7
VINET,Vins et alcools Chevalier,175.0,5,1480.0
ROMEY,Romero y tomillo,27.0,5,1467.29
ANATR,Ana Trujillo Emparedados y helados,63.0,4,1402.95
GALED,Galería del gastrónomo,62.0,5,836.7
NORTS,North/South,7.0,3,649.0
LAUGB,Laughing Bacchus Wine Cellars,125.0,3,522.5
LAZYK,Lazy K Kountry Store,349.0,2,357.0
CENTC,Centro comercial Moctezuma,657.0,1,100.8
