productName,revenue,units_sold
Côte de Blaye,141396.73,623
Thüringer Rostbratwurst,80368.67,746
Raclette Courdavault,71155.7,1496
Tarte au sucre,47234.97,1083
Camembert Pierrot,46825.48,1577
Gnocchi di nonna Alice,42593.06,1263
Manjimup Dried Apples,41819.65,886
Alice Mutton,32698.38,978
Carnarvon Tigers,29171.88,539
Rössle Sauerkraut,25696.64,640
Mozzarella di Giovanni,24900.13,806
Ipoh Coffee,23526.7,580
Sir Rodney's Marmalade,22563.36,313
Uncle Bob's Organic Dried Pears,22044.3,763
Wimmers gute Semmelknödel,21957.97,740
Gudbrandsdalsost,21942.36,714
Ikura,20867.34,742
Perth Pasties,20574.17,722
Gumbär Gummibärchen,19849.14,753
Flotemysost,19551.03,1057
Boston Crab Meat,17910.63,1103
Pâté chinois,17426.4,903
Pavlova,17215.78,1158
Vegie-spread,16701.1,445
Chang,16355.96,1057
Lakkalikööri,15760.44,981
Schoggi Schokolade,15099.88,365
Gorgonzola Telino,14920.88,1397
Sirop d'érable,14352.6,603
Louisiana Fiery Hot Pepper Sauce,13869.89,745
Steeleye Stout,13644.0,883
Inlagd Sill,13458.46,805
Nord-Ost Matjeshering,13424.2,612
Queso Cabrales,12901.77,706
Chai,12788.1,828
Northwoods Cranberry Sauce,12772.0,372
Chartreuse verte,12294.54,793
Queso Manchego La Pastora,12257.66,344
Outback Lager,10672.65,817
Gula Malacca,9915.94,601
Maxilaku,9244.6,520
Original Frankfurter grüne Soße,9171.63,791
Sir Rodney's Scones,9104.0,1016
Scottish Longbreads,8714.0,799
Jack's New England Clam Chowder,8680.34,981
Singaporean Hokkien Fried Mee,8575.0,697
Chef Anton's Cajun Seasoning,8567.9,453
Mascarpone Fabioli,8404.16,297
Rhönbräu Klosterbier,8177.49,1155
Tofu,7991.49,404
Ravioli Angelo,7661.55,434
Mishi Kobe Niku,7226.5,95
Grandma's Boysenberry Spread,7137.0,301
Gustaf's Knäckebröd,7122.36,348
Sasquatch Ale,6350.4,506
Spegesild,5883.0,548
Escargots de Bourgogne,5881.68,534
Teatime Chocolate Biscuits,5862.62,723
Chef Anton's Gumbo Mix,5347.2,298
Konbu,4960.44,891
Tourtière,4728.24,755
Tunnbröd,4601.7,580
Guaraná Fantástica,4504.36,1125
Rogede sild,4338.18,508
Röd Kaviar,3997.2,293
Zaanse koeken,3958.08,485
NuNuCa Nuß-Nougat-Creme,3704.4,318
Valkoinen suklaa,3437.69,235
Louisiana Hot Spiced Okra,3383.0,239
Filo Mix,3232.95,500
Aniseed Syrup,3044.0,328
Gravad lax,2688.4,125
Longlife Tofu,2432.5,297
Laughing Lumberjack Lager,2396.8,184
Genen Shouyu,1784.83,122
Geitost,1648.13,755
Chocolade,1368.71,138
